Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered_oh1,Weight_in_gms,Product_importance_labeled,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Gender_F,Gender_M,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,is_shipping_late
0,4,2,177,3,19.0,1233,0,0,0,0,1,0,1,0,1,0,0,1
1,4,5,216,2,19.0,3088,0,0,0,0,0,1,0,1,1,0,0,1
2,2,2,183,4,19.0,3374,0,1,0,0,0,0,0,1,1,0,0,1
3,3,3,176,4,10.0,1177,1,0,1,0,0,0,0,1,1,0,0,1
4,2,2,184,3,19.0,2484,1,0,0,1,0,0,1,0,1,0,0,1
5,3,1,162,3,12.0,1417,1,0,0,0,0,1,1,0,1,0,0,1
6,3,4,250,3,3.0,2371,0,0,0,0,1,0,1,0,1,0,0,1
7,4,1,233,2,19.0,2804,0,0,0,0,0,1,1,0,1,0,0,1
8,3,4,150,3,11.0,1861,0,1,0,0,0,0,1,0,1,0,0,1
9,3,2,164,3,19.0,1187,1,0,1,0,0,0,1,0,1,0,0,1
10,3,4,189,2,12.0,2888,1,0,0,1,0,0,0,1,1,0,0,1
11,4,5,232,3,19.0,3253,1,0,0,0,0,1,1,0,1,0,0,1
12,3,5,198,3,1.0,3667,1,0,0,0,1,0,1,0,1,0,0,1
13,4,4,275,3,19.0,2602,2,0,0,0,0,1,0,1,1,0,0,1
14,4,3,152,3,19.0,1009,0,1,0,0,0,0,0,1,1,0,0,1
15,4,3,227,3,19.0,2707,0,0,1,0,0,0,1,0,1,0,0,1
16,3,4,143,2,6.0,1194,1,0,0,1,0,0,1,0,1,0,0,1
17,5,5,227,3,19.0,3952,1,0,0,0,0,1,0,1,0,0,1,1
18,5,5,239,3,18.0,2495,2,0,0,0,1,0,0,1,0,0,1,1
19,4,5,145,3,19.0,1059,1,0,0,0,0,1,0,1,0,0,1,1
20,3,3,161,2,19.0,1521,1,1,0,0,0,0,1,0,0,0,1,1
21,3,1,232,4,19.0,2899,1,0,1,0,0,0,1,0,0,0,1,1
22,2,5,156,2,2.0,1750,0,0,0,1,0,0,0,1,0,0,1,1
23,4,3,211,3,12.0,3922,2,0,0,0,0,1,0,1,0,0,1,1
24,4,5,251,2,19.0,3561,1,0,0,0,1,0,1,0,0,0,1,1
25,3,1,225,4,19.0,3496,0,0,0,0,0,1,0,1,0,0,1,1
26,4,1,172,3,19.0,1066,2,1,0,0,0,0,1,0,0,0,1,1
27,5,1,162,3,19.0,1435,1,0,1,0,0,0,0,1,0,0,1,1
28,2,3,234,4,19.0,3134,0,0,0,1,0,0,0,1,0,0,1,1
29,5,4,183,2,19.0,3819,0,0,0,0,0,1,1,0,0,0,1,1
30,3,4,266,2,19.0,2741,1,0,0,0,1,0,1,0,0,0,1,1
31,5,3,257,2,19.0,3341,0,0,0,0,0,1,1,0,0,0,1,1
32,3,1,223,3,19.0,3795,0,1,0,0,0,0,1,0,0,0,1,1
33,4,2,234,3,4.0,3261,1,0,1,0,0,0,0,1,0,0,1,1
34,4,2,227,4,19.0,2460,1,0,0,1,0,0,1,0,0,0,1,1
35,5,4,149,3,19.0,1811,1,0,0,0,0,1,1,0,0,0,1,1
36,3,5,137,4,19.0,1477,2,0,0,0,1,0,1,0,0,0,1,1
37,2,4,181,6,16.0,3605,1,0,0,0,0,1,1,0,0,0,1,1
38,5,1,215,4,19.0,3905,0,1,0,0,0,0,1,0,0,0,1,1
39,4,2,269,5,19.0,2383,0,0,1,0,0,0,1,0,0,0,1,1
40,5,1,227,2,15.0,3798,0,0,0,1,0,0,0,1,0,0,1,1
41,5,5,139,4,19.0,1265,1,0,0,0,0,1,0,1,0,0,1,1
42,3,5,137,2,19.0,1647,1,0,0,0,1,0,0,1,0,0,1,1
43,3,1,174,2,19.0,1556,0,0,0,0,0,1,0,1,0,0,1,1
44,3,1,151,2,19.0,1328,0,1,0,0,0,0,0,1,0,0,1,1
45,5,1,210,3,9.0,2944,0,0,1,0,0,0,1,0,0,0,1,1
46,3,4,169,4,19.0,1245,1,0,0,1,0,0,1,0,0,0,1,1
47,5,1,160,2,19.0,1576,0,0,0,0,0,1,0,1,0,0,1,1
48,5,4,190,2,9.0,3753,1,0,0,0,1,0,0,1,0,0,1,1
49,5,3,216,3,19.0,2146,0,0,0,0,0,1,1,0,0,0,1,1
50,4,1,183,3,19.0,2042,0,1,0,0,0,0,0,1,0,0,1,1
51,4,4,141,3,19.0,1735,0,0,1,0,0,0,0,1,0,0,1,1
52,4,3,165,3,19.0,1320,0,0,0,1,0,0,1,0,0,0,1,1
53,2,1,170,3,19.0,1128,0,0,0,0,0,1,0,1,0,0,1,1
54,4,3,203,3,12.0,3539,2,0,0,0,1,0,0,1,0,0,1,1
